time_s,torsion_a_v,torsion_b_v
-2.079999999999999905e-02,3.680000000000000160e+00,3.851999999999999869e+00
-2.074999999999999761e-02,3.320000000000000284e+00,3.784000000000000252e+00
-2.069999999999999618e-02,3.339999999999999858e+00,3.808000000000000274e+00
-2.064999999999999822e-02,3.300000000000000266e+00,3.756000000000000227e+00
-2.060000000000000026e-02,3.300000000000000266e+00,3.788000000000000256e+00
-2.054999999999999882e-02,3.339999999999999858e+00,3.748000000000000220e+00
-2.049999999999999739e-02,3.320000000000000284e+00,3.776000000000000245e+00
-2.044999999999999596e-02,3.260000000000000231e+00,3.740000000000000213e+00
-2.039999999999999800e-02,3.260000000000000231e+00,3.764000000000000234e+00
-2.035000000000000003e-02,3.320000000000000284e+00,3.732000000000000206e+00
-2.029999999999999860e-02,3.260000000000000231e+00,3.764000000000000234e+00
-2.024999999999999717e-02,3.320000000000000284e+00,3.728000000000000203e+00
-2.019999999999999921e-02,3.260000000000000231e+00,3.756000000000000227e+00
-2.014999999999999777e-02,3.320000000000000284e+00,3.724000000000000199e+00
-2.009999999999999981e-02,3.320000000000000284e+00,3.760000000000000231e+00
-2.004999999999999838e-02,3.240000000000000213e+00,3.708000000000000185e+00
-1.999999999999999695e-02,3.320000000000000284e+00,3.772000000000000242e+00
-1.994999999999999898e-02,3.240000000000000213e+00,3.704000000000000181e+00
-1.989999999999999755e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.984999999999999959e-02,3.320000000000000284e+00,3.752000000000000224e+00
-1.979999999999999816e-02,3.260000000000000231e+00,3.720000000000000195e+00
-1.974999999999999672e-02,3.419999999999999929e+00,3.764000000000000234e+00
-1.969999999999999876e-02,3.379999999999999893e+00,3.736000000000000210e+00
-1.965000000000000080e-02,3.419999999999999929e+00,3.772000000000000242e+00
-1.959999999999999937e-02,3.379999999999999893e+00,3.736000000000000210e+00
-1.954999999999999793e-02,3.419999999999999929e+00,3.772000000000000242e+00
-1.949999999999999650e-02,3.379999999999999893e+00,3.744000000000000217e+00
-1.944999999999999854e-02,3.419999999999999929e+00,3.784000000000000252e+00
-1.940000000000000058e-02,3.379999999999999893e+00,3.776000000000000245e+00
-1.934999999999999915e-02,3.419999999999999929e+00,3.744000000000000217e+00
-1.929999999999999771e-02,3.379999999999999893e+00,3.744000000000000217e+00
-1.924999999999999628e-02,3.439999999999999947e+00,3.784000000000000252e+00
-1.919999999999999832e-02,3.379999999999999893e+00,3.748000000000000220e+00
-1.915000000000000036e-02,3.439999999999999947e+00,3.784000000000000252e+00
-1.909999999999999892e-02,3.379999999999999893e+00,3.792000000000000259e+00
-1.904999999999999749e-02,3.439999999999999947e+00,3.740000000000000213e+00
-1.899999999999999606e-02,3.359999999999999876e+00,3.804000000000000270e+00
-1.894999999999999810e-02,3.459999999999999964e+00,3.724000000000000199e+00
-1.890000000000000013e-02,3.419999999999999929e+00,3.784000000000000252e+00
-1.884999999999999870e-02,3.379999999999999893e+00,3.748000000000000220e+00
-1.879999999999999727e-02,3.439999999999999947e+00,3.740000000000000213e+00
-1.874999999999999584e-02,3.160000000000000142e+00,3.784000000000000252e+00
-1.869999999999999787e-02,3.300000000000000266e+00,3.764000000000000234e+00
-1.864999999999999991e-02,3.339999999999999858e+00,3.732000000000000206e+00
-1.859999999999999848e-02,3.300000000000000266e+00,3.764000000000000234e+00
-1.854999999999999705e-02,3.339999999999999858e+00,3.728000000000000203e+00
-1.849999999999999908e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.844999999999999765e-02,3.339999999999999858e+00,3.760000000000000231e+00
-1.839999999999999969e-02,3.260000000000000231e+00,3.756000000000000227e+00
-1.834999999999999826e-02,3.339999999999999858e+00,3.720000000000000195e+00
-1.829999999999999682e-02,3.320000000000000284e+00,3.756000000000000227e+00
-1.824999999999999886e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.820000000000000090e-02,3.320000000000000284e+00,3.724000000000000199e+00
-1.814999999999999947e-02,3.260000000000000231e+00,3.760000000000000231e+00
-1.809999999999999803e-02,3.260000000000000231e+00,3.716000000000000192e+00
-1.804999999999999660e-02,3.339999999999999858e+00,3.768000000000000238e+00
-1.799999999999999864e-02,3.260000000000000231e+00,3.708000000000000185e+00
-1.795000000000000068e-02,3.339999999999999858e+00,3.776000000000000245e+00
-1.789999999999999925e-02,3.260000000000000231e+00,3.720000000000000195e+00
-1.784999999999999781e-02,3.339999999999999858e+00,3.764000000000000234e+00
-1.779999999999999638e-02,3.300000000000000266e+00,3.728000000000000203e+00
-1.774999999999999842e-02,3.459999999999999964e+00,3.776000000000000245e+00
-1.770000000000000046e-02,3.399999999999999911e+00,3.736000000000000210e+00
-1.764999999999999902e-02,3.459999999999999964e+00,3.776000000000000245e+00
-1.759999999999999759e-02,3.399999999999999911e+00,3.740000000000000213e+00
-1.754999999999999616e-02,3.459999999999999964e+00,3.784000000000000252e+00
-1.749999999999999820e-02,3.399999999999999911e+00,3.744000000000000217e+00
-1.745000000000000023e-02,3.459999999999999964e+00,3.788000000000000256e+00
-1.739999999999999880e-02,3.399999999999999911e+00,3.748000000000000220e+00
-1.734999999999999737e-02,3.459999999999999964e+00,3.788000000000000256e+00
-1.729999999999999594e-02,3.459999999999999964e+00,3.748000000000000220e+00
-1.724999999999999797e-02,3.399999999999999911e+00,3.788000000000000256e+00
-1.720000000000000001e-02,3.399999999999999911e+00,3.792000000000000259e+00
-1.714999999999999858e-02,3.459999999999999964e+00,3.752000000000000224e+00
-1.709999999999999715e-02,3.399999999999999911e+00,3.792000000000000259e+00
-1.704999999999999571e-02,3.459999999999999964e+00,3.736000000000000210e+00
-1.699999999999999775e-02,3.479999999999999982e+00,3.800000000000000266e+00
-1.694999999999999979e-02,3.399999999999999911e+00,3.736000000000000210e+00
-1.689999999999999836e-02,3.459999999999999964e+00,3.792000000000000259e+00
-1.684999999999999692e-02,3.180000000000000160e+00,3.748000000000000220e+00
-1.679999999999999896e-02,3.260000000000000231e+00,3.780000000000000249e+00
-1.674999999999999753e-02,3.339999999999999858e+00,3.740000000000000213e+00
-1.669999999999999957e-02,3.300000000000000266e+00,3.768000000000000238e+00
-1.664999999999999813e-02,3.339999999999999858e+00,3.736000000000000210e+00
-1.659999999999999670e-02,3.339999999999999858e+00,3.764000000000000234e+00
-1.654999999999999874e-02,3.260000000000000231e+00,3.728000000000000203e+00
-1.650000000000000078e-02,3.339999999999999858e+00,3.764000000000000234e+00
-1.644999999999999934e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.639999999999999791e-02,3.320000000000000284e+00,3.760000000000000231e+00
-1.634999999999999648e-02,3.260000000000000231e+00,3.728000000000000203e+00
-1.629999999999999852e-02,3.320000000000000284e+00,3.760000000000000231e+00
-1.625000000000000056e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.619999999999999912e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.614999999999999769e-02,3.320000000000000284e+00,3.756000000000000227e+00
-1.609999999999999626e-02,3.260000000000000231e+00,3.724000000000000199e+00
-1.604999999999999830e-02,3.339999999999999858e+00,3.772000000000000242e+00
-1.600000000000000033e-02,3.240000000000000213e+00,3.704000000000000181e+00
-1.594999999999999890e-02,3.320000000000000284e+00,3.760000000000000231e+00
-1.589999999999999747e-02,3.260000000000000231e+00,3.712000000000000188e+00
-1.584999999999999604e-02,3.540000000000000036e+00,3.776000000000000245e+00
-1.579999999999999807e-02,3.500000000000000000e+00,3.748000000000000220e+00
-1.575000000000000011e-02,3.560000000000000053e+00,3.792000000000000259e+00
-1.569999999999999868e-02,3.520000000000000018e+00,3.768000000000000238e+00
-1.564999999999999725e-02,3.560000000000000053e+00,3.804000000000000270e+00
-1.559999999999999755e-02,3.520000000000000018e+00,3.772000000000000242e+00
-1.554999999999999785e-02,3.560000000000000053e+00,3.812000000000000277e+00
-1.549999999999999815e-02,3.600000000000000089e+00,3.816000000000000281e+00
-1.544999999999999846e-02,3.520000000000000018e+00,3.780000000000000249e+00
-1.539999999999999876e-02,3.540000000000000036e+00,3.820000000000000284e+00
-1.534999999999999733e-02,3.600000000000000089e+00,3.780000000000000249e+00
-1.529999999999999763e-02,3.540000000000000036e+00,3.788000000000000256e+00
-1.524999999999999793e-02,3.600000000000000089e+00,3.824000000000000288e+00
-1.519999999999999823e-02,3.600000000000000089e+00,3.824000000000000288e+00
-1.514999999999999854e-02,3.520000000000000018e+00,3.780000000000000249e+00
-1.509999999999999884e-02,3.600000000000000089e+00,3.788000000000000256e+00
-1.504999999999999741e-02,3.520000000000000018e+00,3.824000000000000288e+00
-1.499999999999999771e-02,3.520000000000000018e+00,3.839999999999999858e+00
-1.494999999999999801e-02,3.600000000000000089e+00,3.776000000000000245e+00
-1.489999999999999832e-02,3.600000000000000089e+00,3.824000000000000288e+00
-1.484999999999999862e-02,3.439999999999999947e+00,3.784000000000000252e+00
-1.479999999999999892e-02,3.600000000000000089e+00,3.788000000000000256e+00
-1.474999999999999749e-02,3.540000000000000036e+00,3.824000000000000288e+00
-1.469999999999999779e-02,3.540000000000000036e+00,3.796000000000000263e+00
-1.464999999999999809e-02,3.600000000000000089e+00,3.828000000000000291e+00
