trial,block,pair_id,stratum,ratio,f1,f2,phase_offset,timebase_s,vpp_ch1,vrms_ch1,vpp_ch2,vrms_ch2,vpp_ch3,vrms_ch3,rsp_db,crest_factor,spectral_flatness,envelope_regularity,xcorr_peak,phase_coherence,wf_points,sample_rate,timestamp
96,1,IR1,IR,√2:1,5946.0,4204.5,315.0,0.0002,0.592,0.3946404,0.336,0.361351,0.4,0.3643408,-21.6902,1.4917,0.009348,0.2513,0.8796,0.8243,1200,500000.0,2026-09-18T18:08:59.288778
97,1,CC3,CC,9:4,7500.0,3333.3,0.0,0.0001,0.576,0.3900407,0.152,0.3490864,0.32,0.3601161,-34.678,1.3975,0.00127,0.269,0.912,0.861,1200,1000000.0,2026-09-18T18:09:07.445233
98,1,CC3,CC,9:4,7500.0,3333.3,45.0,0.0001,0.584,0.3916543,0.328,0.3577462,0.4,0.3623547,-22.9534,1.5026,0.001607,0.2714,0.8891,0.8374,1200,1000000.0,2026-09-18T18:09:16.087082
99,1,CC3,CC,9:4,7500.0,3333.3,90.0,0.0001,0.576,0.3914753,0.152,0.3490592,0.32,0.3607904,-34.6916,1.3979,0.001291,0.2701,0.912,0.8591,1200,1000000.0,2026-09-18T18:09:24.737371
100,1,CC3,CC,9:4,7500.0,3333.3,135.0,0.0001,0.576,0.3907182,0.152,0.3489205,0.32,0.3605072,-34.6542,1.397,0.001283,0.2728,0.911,0.8585,1200,1000000.0,2026-09-18T18:09:33.489318
101,1,CC3,CC,9:4,7500.0,3333.3,180.0,0.0001,0.632,0.3910688,0.608,0.3849632,0.52,0.370194,-31.0841,1.512,0.002896,0.3008,0.839,0.806,1200,1000000.0,2026-09-18T18:09:41.828552
102,1,CC3,CC,9:4,7500.0,3333.3,225.0,0.0001,0.648,0.3917968,0.672,0.3961828,0.6,0.3754589,-34.7408,1.7036,0.000977,0.342,0.8336,0.7464,1200,1000000.0,2026-09-18T18:09:50.241073
103,1,CC3,CC,9:4,7500.0,3333.3,270.0,0.0001,0.576,0.3905844,0.152,0.3487465,0.32,0.3598325,-34.6904,1.3991,0.00133,0.2673,0.9118,0.8606,1200,1000000.0,2026-09-18T18:09:58.350694
104,1,CC3,CC,9:4,7500.0,3333.3,315.0,0.0001,0.576,0.3905143,0.152,0.3494846,0.32,0.360363,-34.7412,1.3971,0.001225,0.2666,0.9121,0.861,1200,1000000.0,2026-09-18T18:10:06.099645
105,1,PC2,PC,11:8,5863.0,4264.0,0.0,0.0002,0.584,0.3924014,0.152,0.3491565,0.32,0.3609606,-33.502,1.3948,0.001875,0.259,0.9121,0.8561,1200,500000.0,2026-09-18T18:10:14.521765
